freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1990-S2 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 
S,4100,4141250,GJ_GCV,I_TAX,NAT,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95.5000 	98.3000 	101.4000 	103.3000 	103.3000 	98.3000 	95.8000 	103.3000 	103.3000 	139.6000 	148.5000 	152.1000 	153.7000 	168.5000 	164.0000 	177.1000 	181.6000 	202.0000 	194.7000 	222.4000 	228.3000 	211.9000 	: 
S,4100,4141250,GJ_GCV,I_TAX,NAT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	271.0000 	271.0000 	277.0000 	252.0000 	364.0000 	365.0000 	390.0000 	380.0000 
S,4100,4141250,GJ_GCV,I_TAX,NAT,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.9500 
S,4100,4141250,GJ_GCV,I_TAX,NAT,UK	: 	: 	: 	: 	: 	3.8100 	4.1000 	4.2400 	4.4000 	4.4000 	4.2300 	4.1500 	4.1500 	4.1500 	4.4800 	4.6100 	4.6000 	4.5900 	4.5700 	4.5600 	4.4400 	4.3000 	4.0000 	3.9800 	3.8900 	3.8800 	3.7900 	3.7500 	3.8900 	3.8600 	4.0700 	4.0800 	4.1000 	4.2100 	4.4300 	4.9400 	5.0000 	5.4200 	6.6600 	7.6000 	6.6700 
S,4100,4141250,GJ_GCV,I_TAX,PPS,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.8510 	10.8247 	10.9313 	13.2364 	13.2364 	13.6524 p	13.6524 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.2164 	10.1011 	11.3960 	11.9419 	11.0916 p	9.9523 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.2291 	17.1806 	17.4612 	17.8392 	20.6665 	21.9265 	21.4072 p	21.6852 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.8540 	10.1676 	11.5330 	11.7487 	12.2890 	11.2649 	10.8305 	11.7742 	10.8424 	10.1230 	11.5594 	11.8221 	15.6349 	16.0432 	13.8772 p	14.0747 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,DE	7.6282 	7.7689 	5.2043 	4.5462 	4.6979 	5.3025 	: 	5.6013 	6.0841 	5.8006 	5.6212 	6.1278 	6.3153 	6.3172 	6.2683 	5.7846 	5.5484 	5.4965 	5.5398 	6.0252 	6.1346 	6.1267 	6.0960 	5.8295 	5.9096 	6.7336 	7.9474 	9.5630 	9.7093 	9.2849 	8.7446 	9.8345 	10.0776 	10.0226 	10.0226 	11.2008 	11.2008 	13.7674 	15.1460 	16.5064 p	15.0296 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.7748 	11.5204 	14.0786 	14.7867 	17.1085 	15.2776 	13.6556 	14.1516 	14.0514 	13.4449 	14.2506 	18.4432 	21.0590 	20.2203 	22.0894 	27.0989 	22.6893 p	23.9069 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.6157 	: 	7.5112 	7.5040 	7.3089 	7.3089 	7.0381 	7.8456 	8.4796 p	10.7620 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.2621 	9.4635 	11.3805 	11.0900 	11.3090 p	10.9266 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.1730 	6.8727 	6.5736 	6.3639 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
S,4100,4141250,GJ_GCV,I_TAX,PPS,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.5806 	: 	: 	8.5831 	10.3751 	11.0271 	10.8791 p	10.8791 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.1843 	13.1843 	12.6871 	12.6871 	12.9814 p	: 
S,4100,4141250,GJ_GCV,I_TAX,PPS,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.7043 	5.7043 	5.3330 	5.3330 	4.8120 	4.8120 	5.7031 p	5.7031 p	5.2449 p	6.7870 p	6.9776 p	7.9489 p	7.8032 p	7.8032 p	7.3391 	7.2309 	6.7694 	7.5795 	7.3305 	8.1938 	7.7868 	7.7868 	7.3270 	8.2062 	9.9583 	9.9583 	9.8399 	10.9423 	11.3950 	11.3965 	16.1559 p	16.6440 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.4919 	14.4919 	14.5207 	14.3932 	16.1509 	16.5635 	18.0597 p	: 
S,4100,4141250,GJ_GCV,I_TAX,PPS,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.0947 	9.5146 	9.5976 	8.9414 	11.2461 	12.8016 	12.2470 p	12.2650 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.1414 	7.7367 	9.2220 	9.6378 	9.8217 p	8.9462 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.6402 	8.6402 	8.6928 	8.8087 	9.4507 	10.1777 	11.0703 p	10.7519 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.6904 	10.7223 	12.7008 	12.8529 	15.0139 	15.1771 	16.6987 p	: 
S,4100,4141250,GJ_GCV,I_TAX,PPS,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.6970 	11.4326 	12.8576 	12.8808 	12.8288 	12.5620 	: 	12.5616 	12.5616 	12.8948 	13.7033 	15.2784 	16.5157 	17.7369 p	17.7369 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.7004 	14.5199 	14.3047 p	14.2202 p	12.9890 	: 	13.4798 	14.6719 	16.2664 	15.7476 	15.0812 p	15.1741 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.0247 	14.6266 	15.7313 	16.5813 	15.9277 p	15.9555 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.7615 	9.0303 	9.3151 	9.4132 	9.4132 	9.2009 	8.9669 	9.8825 	9.8825 	13.0438 	13.8754 	14.0254 	14.1730 	15.4219 	15.0101 	16.2698 	16.6832 	18.3983 	17.7334 	20.3728 	20.9133 	19.3151 p	: 
S,4100,4141250,GJ_GCV,I_TAX,PPS,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.2963 	13.2963 	13.5999 	12.3725 	17.8611 	17.9102 	18.8406 p	18.3575 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.2562 p
S,4100,4141250,GJ_GCV,I_TAX,PPS,UK	: 	: 	: 	: 	: 	5.7138 	6.1487 	6.2611 	6.4973 	6.4412 	6.1924 	5.9594 	5.9594 	5.9837 	6.4595 	6.2564 	6.2428 	6.2433 	6.2161 	6.2967 	6.1310 	5.8582 	5.4495 	5.4035 	5.2813 	5.3936 	5.2685 	5.2454 	5.4412 	5.4627 	5.7599 	5.5331 	5.5602 	5.7376 	6.0375 	6.6967 	6.7780 	7.1269 	8.7574 	10.2393 p	8.9863 p
